restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
Ustaad Biryani,Delivery,3.2,5,500.0,1,0,Biryani,"Byresandra,Tavarekere,Madiwala",HSR
UTHRA,Casual Dining,4.0,103,800.0,0,1,North Indian,Indiranagar,Indiranagar
UTHRA,Casual Dining,4.0,103,800.0,0,1,Modern Indian,Indiranagar,Indiranagar
Utopia,Casual Dining,2.8,59,550.0,0,0,North Indian,Brookefield,Marathahalli
Utopia,Casual Dining,2.8,59,550.0,0,0,Chinese,Brookefield,Marathahalli
Utsav,Quick Bites,3.7,59,200.0,1,0,North Indian,Banashankari,Banashankari
Utsav,Quick Bites,3.7,59,200.0,1,0,Street Food,Banashankari,Banashankari
Utsav Restaurant,Casual Dining,3.6,23,1000.0,0,0,North Indian,Bannerghatta Road,Bannerghatta Road
Utsav Restaurant,Casual Dining,3.6,23,1000.0,0,0,Chinese,Bannerghatta Road,Bannerghatta Road
Utsav Restaurant,Casual Dining,3.6,23,1000.0,0,0,Italian,Bannerghatta Road,Bannerghatta Road
Utsav Restaurant,Casual Dining,3.6,23,1000.0,0,0,South Indian,Bannerghatta Road,Bannerghatta Road
Utsava Grand,Quick Bites,3.6,14,300.0,0,0,South Indian,Rajajinagar,Majestic
Utsava Grand,Quick Bites,3.6,14,300.0,0,0,North Indian,Rajajinagar,Majestic
Utsava Grand,Quick Bites,3.6,14,300.0,0,0,Chinese,Rajajinagar,Majestic
Utse Kitchen,Casual Dining,4.2,171,800.0,1,0,Nepalese,Indiranagar,Commercial Street
Utse Kitchen,Casual Dining,4.2,171,800.0,1,0,Tibetan,Indiranagar,Commercial Street
Utse Kitchen,Casual Dining,4.2,171,800.0,1,0,Momos,Indiranagar,Commercial Street
Uttar Karnataka Lunch Home,Quick Bites,3.1,6,150.0,0,0,South Indian,Bellandur,Bellandur
Uttar Karnataka Meals Restaurant,Quick Bites,3.7,26,200.0,0,0,South Indian,"Byresandra,Tavarekere,Madiwala",Jayanagar
Uttara Karanataka Mess,Mess,3.3,5,200.0,0,0,South Indian,Jayanagar,JP Nagar
